13,26
18,0
29,27
2,7
27,17
30,28
0,10
4,26
0,27
6,12
30,15
22,22
0,2
20,6
14,10
13,17
15,7
26,29
30,3
18,8
27,11
27,25
19,2
6,0
29,7
1,25
9,5
33,10
3,25
5,24
33,19
22,18
33,8
3,2
23,6
32,8
31,16
18,21
6,7
32,3
24,15
0,26
7,12
9,28
29,22
20,26
16,23
30,10
8,0
25,13
19,11
1,25
22,22
29,19
18,27
4,1
15,24
15,28
22,28
24,13
15,2
26,4
31,4
26,23
2,19
2,1
24,18
14,11
23,21
5,2
5,0
31,9
34,19
1,29
2,24
14,13
6,14
14,28
21,26
8,12
1,1
23,23
33,8
14,2
20,6
21,24
28,9
6,11
9,19
12,2
32,21
0,6
25,19
27,8
21,17
23,20
14,26
31,13
9,8
9,10
26,13
21,13
32,7
20,12
30,21
16,27
29,12
12,6
16,17
34,14
2,4
32,18
11,5
15,2
25,9
33,20
3,19
12,25
14,20
28,11
13,16
33,7
29,10
0,0
7,19
12,0
28,6
21,1
14,4
13,11
20,0
25,25
8,29
8,14
22,15
34,17
16,3
30,0
18,12
14,6
14,8
28,14
6,6
33,12
21,20
7,8
0,15
5,29
25,16
12,23
9,19
16,7
30,1
16,19
29,9
27,19
3,9
9,7
1,13
24,21
10,29
12,6
13,14
2,18
32,23
22,24
22,6
19,12
33,21
23,14
13,3
4,4
22,11
23,16
32,7
5,16
21,24
29,12
14,11
20,2
24,24
4,22
17,15
26,2
26,0
14,1
33,13
7,9
11,25
30,19
16,9
9,21
0,22
27,26
12,17
30,18
11,14
6,4
18,29
14,7
21,13
31,29
23,5
10,16
22,24
0,0
16,17
28,25
28,17
20,19
21,29
9,17
21,28
25,7
18,21
12,3
19,22
3,5
8,6
1,0
21,19
27,16
8,5
4,28
1,21
27,18
19,16
3,12
3,12
3,25
21,11
29,5
10,23
4,5
5,14
31,2
30,21
11,6
15,20
0,18
22,4
1,14
6,21
31,21
26,2
11,19
0,10
21,16
14,20
20,16
11,22
20,11
4,1
19,28
18,17
13,13
3,5
10,10
8,14
3,19
13,2
22,11
2,22
1,16
10,14
15,11
20,5
22,25
24,7
23,0
15,23
1,25
11,9
28,25
17,4
34,2
1,12
28,25
16,16
15,27
17,6
9,22
3,18
13,22
13,9
34,21
7,11
10,20
32,26
22,6
5,1
21,13
24,4
19,11
22,3
30,27
5,29
3,27
14,8
32,15
31,0
20,18
12,7
31,5
21,4
14,25
16,6
3,27
24,13
5,9
29,21
6,15
34,0
19,3
32,18
4,11
19,13
27,18
28,21
26,23
25,4
29,27
5,19
13,16
33,26
29,22
29,9
8,24
13,23
27,1
11,19
25,12
12,24
22,2
27,4
6,7
19,23
12,15
15,18
4,28
33,25
16,13
18,21
7,4
24,7
22,21
26,21
17,10
33,12
32,21
15,18
17,9
7,19
4,13
31,6
26,21
12,12
4,20
23,20
7,27
10,18
32,11
23,18
32,3
26,26
8,11
31,16
17,9
3,10
5,19
17,27
20,23
5,28
16,0
15,28
20,8
34,11
20,9
28,25
21,13
29,16
16,2
15,15
14,17
7,27
9,4
10,15
25,17
16,24
7,8
0,17
7,13
20,24
3,14
34,16
4,12
22,2
6,24
14,25
21,13
1,17
5,2
29,13
6,13
1,12
0,9
21,2
27,26
32,19
8,18
19,15
32,8
23,0
5,9
23,6
16,9
29,3
23,22
31,25
2,17
29,19
26,14
20,24
23,8
26,7
27,6
20,0
0,21
24,19
34,4
4,3
17,22
12,3
9,21
22,5
4,7
0,18
1,14
4,17
1,22
6,4
22,29
17,0
3,29
0,1
14,14
4,0
1,28
28,29
11,16
